question,answer
What is the guidebook for?,The guidebook is for confirming the whole load and maximum working radius of the SCC3000A crawler crane.
What should be done before lifting to prevent the crane from turning over or damaging the attachments?,"Three steps should be carried out before lifting: reading the lifting icon to identify the whole load, calculating the whole lifting load, and not extending the range of maximum working radius."
What are the rated loads in the Load Tables based on?,The rated loads in the Load Tables are based on the boom strength and the boom stability.
What should be considered when using the Load Chart?,Two things should be considered when using the Load Chart: the ground conditions and the calculation of actual lifting capacity.
What should be the condition of the ground for the rated loads to be applicable?,The rated loads are calculated assuming that the crane is evenly supported on level hard ground and the gradient is less than 1%.
What should be deducted when calculating the actual lifting load?,"When calculating the actual lifting load, the weight of hooks, lifting devices, and wire ropes wound on the hooks and connected to the boom tip should be deducted from the rated load."
What is the weight of the wire ropes wound on the hooks calculated by?,The weight of the wire ropes wound on the hooks is calculated by 3.92kg/m.
What should be excluded from the actual weight in the load chart?,"In the load chart, the weight of the main hook, hoist devices, and the wire on the boom head should be excluded from the actual weight."
What is the working range of the crane?,The working range of the crane can be applied while the crane swings within 360º.
What is the traveling load capacity of the crane?,"The traveling load capacity of the crane is the load while traveling. If the crane travels with a load, the load should be reduced because the capacity under different duty is different."
What should be considered when traveling with a load?,"When traveling with a load, it is suggested to move the load within a very small range and close to the earth, and to use the low-speed gear while traveling."
What optional rated table is provided in the guidebook?,"An optional rated table is provided in the guidebook, with the tonnage of hooks and the rated capacity for each part of the line."
What is the rated load value calculated based on in the context of SCC3000A crawler crane?,The rated load value is calculated considering the allowable working wind speed for different working conditions in the context of SCC3000A crawler crane.
What should be the status of the SCC3000A crawler crane when the wind speed is greater than the maximum allowable wind speed for working condition and less than the maximum allowable wind speed for non-working condition?,"When the wind speed is greater than the maximum allowable wind speed for working condition and less than the maximum allowable wind speed for non-working condition, the crane is not allowed to work, but the boom can be kept in an upright position."
When should the boom of the SCC3000A crawler crane be lowered to the ground when the wind speed is greater than the maximum allowable wind speed for non-working condition?,"When the wind speed is greater than the maximum allowable wind speed for non-working condition, the boom must be lowered to the ground."
What is the allowable wind speed for boom length less than or equal to 50 meters and wind speed less than or equal to 14.1 m/s for the SCC3000A crawler crane?,The allowable wind speed for boom length less than or equal to 50 meters and wind speed less than or equal to 14.1 m/s is operation for the SCC3000A crawler crane.
What is the allowable wind speed for any boom length and wind speed less than or equal to 9.8 m/s for the SCC3000A crawler crane?,The allowable wind speed for any boom length and wind speed less than or equal to 9.8 m/s is operation for the SCC3000A crawler crane.
